id,domain,original_prompt,enhanced_prompt,poas_score,audio_file
12,speech,"A professional news anchor speaking clearly, broadcast quality audio, realistic human speech","A professional news anchor speaking clearly, broadcast quality audio, realistic human speech | Features: close-mic, voice-over quality, clear diction, noise-free, isolated vocal track",0.4769,outputs/audio/speech_12.wav
13,speech,"A child speaking and laughing naturally, clear voice, realistic environment","A child speaking and laughing naturally, clear voice, realistic environment | Features: high quality, clear audio, realistic soundscape, lossless format",0.386,outputs/audio/speech_13.wav
14,speech,"A teacher explaining a topic clearly, human voice, studio recording, clean audio","A teacher explaining a topic clearly, human voice, studio recording, clean audio | Features: high quality, clear audio, realistic soundscape, lossless format",0.0073,outputs/audio/speech_14.wav
15,speech,"A person whispering softly in a quiet room, highly detailed recording, clear audio","A person whispering softly in a quiet room, highly detailed recording, clear audio | Features: high quality, clear audio, realistic soundscape, lossless format",0.5431,outputs/audio/speech_15.wav
16,speech,"A podcast conversation with clear voices and balanced sound levels, professional recording","A podcast conversation with clear voices and balanced sound levels, professional recording | Features: high quality, clear audio, realistic soundscape, lossless format",0.0636,outputs/audio/speech_16.wav
17,speech,"A radio announcer with deep voice, high-quality broadcast recording","A radio announcer with deep voice, high-quality broadcast recording | Features: high quality, clear audio, realistic soundscape, lossless format",0.3645,outputs/audio/speech_17.wav
18,speech,"A person speaking on a phone call, slightly compressed audio, realistic effect","A person speaking on a phone call, slightly compressed audio, realistic effect | Features: high quality, clear audio, realistic soundscape, lossless format",0.2149,outputs/audio/speech_18.wav
19,speech,"A storyteller narrating a story with expressive voice, immersive audio experience","A storyteller narrating a story with expressive voice, immersive audio experience | Features: high quality, clear audio, realistic soundscape, lossless format",0.1113,outputs/audio/speech_19.wav
20,sfx,"A highly realistic recording of heavy rain falling on a metal roof, detailed water droplets, consistent rhythm, immersive environmental sound, spatial audio","A highly realistic recording of heavy rain falling on a metal roof, detailed water droplets, consistent rhythm, immersive environmental sound, spatial audio | Features: high quality, clear audio, realistic soundscape, lossless format",0.2623,outputs/audio/sfx_20.wav
21,sfx,"Powerful ocean waves crashing against large rocks, deep bass rumble, wide stereo field, realistic coastal environment","Powerful ocean waves crashing against large rocks, deep bass rumble, wide stereo field, realistic coastal environment | Features: high quality, clear audio, realistic soundscape, lossless format",0.3446,outputs/audio/sfx_21.wav
22,sfx,"A car engine starting and accelerating smoothly, mechanical detail, clean recording, realistic automotive sound","A car engine starting and accelerating smoothly, mechanical detail, clean recording, realistic automotive sound | Features: high quality, clear audio, realistic soundscape, lossless format",0.436,outputs/audio/sfx_22.wav
23,sfx,"Fire crackling in a quiet forest, detailed high-frequency textures, natural ambience, immersive sound design","Fire crackling in a quiet forest, detailed high-frequency textures, natural ambience, immersive sound design | Features: high quality, clear audio, realistic soundscape, lossless format",0.2976,outputs/audio/sfx_23.wav
24,sfx,"Footsteps walking on dry leaves, crisp and detailed sound, close-up recording, natural outdoor environment","Footsteps walking on dry leaves, crisp and detailed sound, close-up recording, natural outdoor environment | Features: high quality, clear audio, realistic soundscape, lossless format",0.3044,outputs/audio/sfx_24.wav
25,sfx,"Birds chirping in a peaceful morning forest, natural stereo recording","Birds chirping in a peaceful morning forest, natural stereo recording | Features: outdoor field recording, high frequency trills, natural ambiance, wide stereo",0.3947,outputs/audio/sfx_25.wav
26,sfx,"A crowded restaurant with chatter and clinking glasses, realistic ambient recording","A crowded restaurant with chatter and clinking glasses, realistic ambient recording | Features: ambient field recording, medium stereo width, dynamic chatter, distinct clinking highs",0.3078,outputs/audio/sfx_26.wav
27,sfx,"Thunder rumbling across the sky followed by sharp lightning strikes, realistic storm ambience","Thunder rumbling across the sky followed by sharp lightning strikes, realistic storm ambience | Features: low frequency rumble, binaural recording, immersive environmental audio surround",0.2438,outputs/audio/sfx_27.wav
28,sfx,"A train passing rapidly through a tunnel, metallic echoes, immersive environmental sound","A train passing rapidly through a tunnel, metallic echoes, immersive environmental sound | Features: high quality, clear audio, realistic soundscape, lossless format",0.0038,outputs/audio/sfx_28.wav
29,sfx,"Keyboard typing in a quiet office room, crisp mechanical key sounds, close recording","Keyboard typing in a quiet office room, crisp mechanical key sounds, close recording | Features: high quality, clear audio, realistic soundscape, lossless format",0.4772,outputs/audio/sfx_29.wav
